"dulu sering bgt kesini . hampir tiap liburan pst ksana . msih belum gini bentukannya. 5 taun lalu ksna lg jd mahal bgt, msuk mobil , per orang dan -",dulu sering bgt kesini hampir tiap liburan pst ksana msih belum gini bentukannya taun lalu ksna lg jd mahal bgt msuk mobil per orang dan,negatif,Glamping Lakeside
kapan yaa bisa kesini,kapan yaa bisa kesini,netral,Gunung Puntang
"pengenn, tp takut lewat jembatanw gitu 😭",pengenn tp takut lewat jembatanw gitu,netral,Kawah Putih
bagus bgt skrg🥺kgn,bagus bgt skrgkgn,positif,Gunung Puntang
kmren kesini 2019 blm ada jembatan ini deh keknya,kmren kesini blm ada jembatan ini deh keknya,netral,Kawah Putih
tambah bagus yaa,tambah bagus yaa,positif,Kawah Putih
pengin kesini yangg. bangeettt @mpriady08,pengin kesini yangg bangeettt mpriady,netral,Glamping Lakeside
hayu orang bandung kesini bareng yuuu 🥺,hayu orang bandung kesini bareng yuuu,netral,Kawah Putih
dulu niat kesini eh tbtb putus😓,dulu niat kesini eh tbtb putus,netral,Kawah Putih
bagus tapi perih di mata jalan ke dlmnya jauh bgt udah gitu jalannya oneway banyak yg bolong 😌,bagus tapi perih di mata jalan ke dlmnya jauh bgt udah gitu jalannya oneway banyak yg bolong,positif,Gunung Puntang
impian banget kesini🥺,impian banget kesini,netral,Ranca Upas
@kase.mp sayang kesini yu,kasemp sayang kesini yu,netral,Glamping Lakeside
@mechna kali kali mainnya kesini,mechna kali kali mainnya kesini,netral,Gunung Puntang
@tommyantonysinaga cantik tempatnya,tommyantonysinaga cantik tempatnya,netral,Ranca Upas
@duarrhatiku nanti perpisahan kesini ya?,duarrhatiku nanti perpisahan kesini ya,netral,Glamping Lakeside
@anthonius93 nanti kita bakal kesini kan?,anthonius nanti kita bakal kesini kan,netral,Kawah Putih
aku gabisa kesini karna pasti keinginan buat terjun 📈,aku gabisa kesini karna pasti keinginan buat terjun,netral,Situ Patenggang
@qq_1112 daritadi muncul mulu pertanda kita harus kesini😂,qq_ daritadi muncul mulu pertanda kita harus kesini,netral,Glamping Lakeside
@risky.benz nanti kesini yu,riskybenz nanti kesini yu,netral,Situ Patenggang
@cblla_16 km kesini,cblla_ km kesini,netral,Gunung Puntang
"weh udh bagusss, mo kesini aaaa",weh udh bagusss mo kesini aaaa,positif,Glamping Lakeside
kita ga kesini nya iya ga sii @21ikaa,kita ga kesini nya iya ga sii ikaa,netral,Kawah Putih
bagus bgt skrg ada jembatan nya 😍,bagus bgt skrg ada jembatan nya,positif,Gunung Puntang
udah lama gak kesini makin bagus banget ciwidey 😩,udah lama gak kesini makin bagus banget ciwidey,positif,Situ Patenggang
"terakhir kesini masih b ajh, knpa skrng bagus bngt😭",terakhir kesini masih b ajh knpa skrng bagus bngt,positif,Ranca Upas
"dulu aku kstu ga sebagus itu deh, jd pingin kstu lg 🥺",dulu aku kstu ga sebagus itu deh jd pingin kstu lg,positif,Situ Patenggang
kesini 2018 ujan deres🥺,kesini ujan deres,netral,Ranca Upas
subhanallah cantik banget🥰🥰,subhanallah cantik banget,netral,Situ Patenggang
@ling_566 aaa bagus ternyata 😳😳,ling_ aaa bagus ternyata,positif,Ranca Upas
pingin kesini tapi blum kesampean seharusnya tgl 13 -17 mei 2022 aq Uda bayar biaya tournya tapi fihak tournya yg batalin duitku di balikin,pingin kesini tapi blum kesampean seharusnya tgl mei aq uda bayar biaya tournya tapi fihak tournya yg batalin duitku di balikin,netral,Glamping Lakeside
"jd gk alami, ada buatan - buatan, suka kawah putih yg dlu😬",jd gk alami ada buatan buatan suka kawah putih yg dlu,positif,Kawah Putih
ayo kesini @arifbowo08,ayo kesini arifbowo,netral,Kawah Putih
pengin kesini ☺️,pengin kesini,netral,Situ Patenggang
Suka Macet Kalo Kesana apalagi Searah Ama Ranca Upas,suka macet kalo kesana apalagi searah ama ranca upas,netral,Ranca Upas
Pas aku kesini masih di benerin jembatan nya🥺,pas aku kesini masih di benerin jembatan nya,netral,Kawah Putih
@yagabutttttt00 kesini besok kita,yagabutttttt kesini besok kita,netral,Situ Patenggang
kenapa dulu aku ke situ ga seindah skrg yah tempatnya,kenapa dulu aku ke situ ga seindah skrg yah tempatnya,positif,Ranca Upas
Aku kesini thn 2017 belum bagus kaya gini woey 🧐,aku kesini thn belum bagus kaya gini woey,positif,Gunung Puntang
Auto pengen kesini dong sama suami 😳,auto pengen kesini dong sama suami,netral,Ranca Upas
@dudinugraha305 beuki enakeun yang,dudinugraha beuki enakeun yang,positif,Ranca Upas
@muhammadridwan92175 ciwideyy baguss 😂,muhammadridwan ciwideyy baguss,positif,Gunung Puntang
indah sih tapi sakit... 🙈🙈,indah sih tapi sakit,positif,Kawah Putih
baru kemaren pas libur lebaran kesini tapi ga ke jembatan nya karna ke tutup sama kabut😭,baru kemaren pas libur lebaran kesini tapi ga ke jembatan nya karna ke tutup sama kabut,netral,Kawah Putih
enak bgt buat nenangin dri wkwk,enak bgt buat nenangin dri wkwk,positif,Kawah Putih
@luthfikupey gmn ini bnyk bgt yg bagus²🥲,luthfikupey gmn ini bnyk bgt yg bagus²,positif,Ranca Upas
@iland98 @edelweis0399 pen kesini,iland edelweis pen kesini,netral,Ranca Upas
baru aja mau kesini😅,baru aja mau kesini,netral,Ranca Upas
indah sx....🥰🥰,indah sx,positif,Situ Patenggang
@ice.american0o bagusss bgtt tolong,iceamericano bagusss bgtt tolong,positif,Kawah Putih
moga bisa kesini meski jauh sekali😌,moga bisa kesini meski jauh sekali,netral,Situ Patenggang
mauuu kesiniii 🥺 @nom.sss87,mauuu kesiniii nomsss,netral,Glamping Lakeside
terakhir 2013 😂 piknik sekolah udh lama bah jadi bagus bet,terakhir piknik sekolah udh lama bah jadi bagus bet,positif,Kawah Putih
dulu ke kawah putih taun 2015 skrg udah bagus bgt,dulu ke kawah putih taun skrg udah bagus bgt,positif,Kawah Putih
"bagus skrg y,dulu kita di pinggir doang@ekanurhikmah4",bagus skrg ydulu kita di pinggir doangekanurhikmah,positif,Kawah Putih
@filterseparo6 bagus bgttt,filterseparo bagus bgttt,positif,Gunung Puntang
bagus banget...tapi kok takut ya😳,bagus bangettapi kok takut ya,positif,Glamping Lakeside
perasaan kita kesini kaga begini yak @hazelnuttchocopie,perasaan kita kesini kaga begini yak hazelnuttchocopie,netral,Situ Patenggang
tambah bagus dulu wktu studytour MH gak ada jembatan'y,tambah bagus dulu wktu studytour mh gak ada jembatany,positif,Ranca Upas
terakhir kesini thn 2011 bareng temen2 kerja 😁,terakhir kesini thn bareng temen kerja,netral,Situ Patenggang
Kawah putih skrg dah makin keren aja,kawah putih skrg dah makin keren aja,positif,Kawah Putih
"tempat terakhir sebelum berpisah
dan tempat yg sangat berkesan 2018 sangat indah 🥰🥰",tempat terakhir sebelum berpisah dan tempat yg sangat berkesan sangat indah,positif,Gunung Puntang
ko malah pen kesini wkwk @scorpio0_233,ko malah pen kesini wkwk scorpio_,netral,Situ Patenggang
seru banget kesini pas perpisahan sekolah😂,seru banget kesini pas perpisahan sekolah,positif,Kawah Putih
Pgn kesini lagi🥺,pgn kesini lagi,netral,Kawah Putih
@shd_kis nabung buat kesini,shd_kis nabung buat kesini,netral,Ranca Upas
"gw malah jd ngeri dibikin jembatan gini, takut nyemplung karna pengunjung anak2 lumayan banyak😳",gw malah jd ngeri dibikin jembatan gini takut nyemplung karna pengunjung anak lumayan banyak,netral,Gunung Puntang
please pengen balik kesini lagi tmpt healing bgus jga ni,please pengen balik kesini lagi tmpt healing bgus jga ni,positif,Situ Patenggang
"kenapa
sebagus ini
dak ada yg renang di situ
😂",kenapa sebagus ini dak ada yg renang di situ,positif,Gunung Puntang
@laxuss7 pengen kesini bang,laxuss pengen kesini bang,netral,Glamping Lakeside
woow indah banget 😳😳,woow indah banget,positif,Glamping Lakeside
@bailaknaat9 cantik banget yang,bailaknaat cantik banget yang,netral,Kawah Putih
@akuaquariusgurl @cuteeegirlss @ztr113 nyesel ga kesini:(,akuaquariusgurl cuteeegirlss ztr nyesel ga kesini,netral,Kawah Putih
tambah bagus sekarang 🥰 dulu cuma dipinggiran 😂,tambah bagus sekarang dulu cuma dipinggiran,positif,Gunung Puntang
@Bagus pgen ng kne,bagus pgen ng kne,positif,Ranca Upas
takut klo jembatannya ambruk udh jadi opor 😭,takut klo jembatannya ambruk udh jadi opor,netral,Kawah Putih
tapi kok gua malah takut yah lewatin jembatannya itu🙈🙈🙈,tapi kok gua malah takut yah lewatin jembatannya itu,netral,Kawah Putih
ajak aku kesini RI @rii_ririi,ajak aku kesini ri rii_ririi,netral,Gunung Puntang
terakhir kesini tahun 2019 kangen banget sama suasananya🥺,terakhir kesini tahun kangen banget sama suasananya,netral,Glamping Lakeside
pas kesini blm jd😅,pas kesini blm jd,netral,Gunung Puntang
"pingin bgt kesinii, someday bisa yaa",pingin bgt kesinii someday bisa yaa,netral,Gunung Puntang
pas kesini kawahnya surut 😂 jadi jembatannya cuma melintang diatas bebatuan 😂,pas kesini kawahnya surut jadi jembatannya cuma melintang diatas bebatuan,netral,Kawah Putih
dulu ke sini taun 2012 belum sebagus ini🥺,dulu ke sini taun belum sebagus ini,positif,Situ Patenggang
@raxasusu enak bgt ga si,raxasusu enak bgt ga si,positif,Situ Patenggang
aaaa pengen banget kesini dari dulu 🥺🥺🥺🥺🥺,aaaa pengen banget kesini dari dulu,netral,Ranca Upas
@ICHIH sekali lagiiii aja kesini,ichih sekali lagiiii aja kesini,netral,Glamping Lakeside
@imdadurahman bagus yah,imdadurahman bagus yah,positif,Kawah Putih
tambah bagus mo nangis,tambah bagus mo nangis,positif,Ranca Upas
kesini tahun 2016 :)),kesini tahun,netral,Gunung Puntang
buset gue terakhir kesini wktu SD skrg dah bagus bgt,buset gue terakhir kesini wktu sd skrg dah bagus bgt,positif,Gunung Puntang
@relliworld pengen kesiniiii,relliworld pengen kesiniiii,netral,Ranca Upas
dulu mah kesini te jaman batu kerikil,dulu mah kesini te jaman batu kerikil,netral,Glamping Lakeside
bagus bgt skrg🥺,bagus bgt skrg,positif,Ranca Upas
aku pas kesini gk kuat sama bau kawah nya sampe batuk2 ..,aku pas kesini gk kuat sama bau kawah nya sampe batuk,negatif,Situ Patenggang
Dulu ga sebagus sekrang 😂,dulu ga sebagus sekrang,positif,Ranca Upas
YAALLAH indah bgt,yaallah indah bgt,positif,Kawah Putih
dari dlu pgn kesini blm kesampean...,dari dlu pgn kesini blm kesampean,netral,Kawah Putih
Niat mau kesini pas lebaran sama mas exx tapi keburu balik:(( intinya nyesellllll bangett,niat mau kesini pas lebaran sama mas exx tapi keburu balik intinya nyesellllll bangett,netral,Ranca Upas
@kusumajalu pernah kesini blm,kusumajalu pernah kesini blm,netral,Gunung Puntang
dari dulu PGN bgt kesini blm kesampaian🥺,dari dulu pgn bgt kesini blm kesampaian,netral,Situ Patenggang
@orangsukses1010 kesini ajala woiii😭,orangsukses kesini ajala woiii,netral,Gunung Puntang
@singsumdem keren bgt ga sih 🥺,singsumdem keren bgt ga sih,positif,Ranca Upas
bagus bgt ihhh,bagus bgt ihhh,positif,Glamping Lakeside
soon kita kesini yaaa@jungkookierani @awokwikk,soon kita kesini yaaajungkookierani awokwikk,netral,Gunung Puntang
@ppppppphahahahaha kesini yu,ppppppphahahahaha kesini yu,netral,Ranca Upas
"lama ga kesini dah, seharusnya lebaran kemren bisa pulang, karna kerjaan jd ga bisa mudik 🥺🥺🥺 kesini",lama ga kesini dah seharusnya lebaran kemren bisa pulang karna kerjaan jd ga bisa mudik kesini,netral,Glamping Lakeside
takut roboh,takut roboh,netral,Glamping Lakeside
dulu mh belum sebagus ini🥺,dulu mh belum sebagus ini,positif,Ranca Upas
pas taun baru kesini ga kuat banget engap bau nya 🥺,pas taun baru kesini ga kuat banget engap bau nya,negatif,Ranca Upas
"trauma sama yg namanya sasak gantung 🥺 takut tiba"" 😌",trauma sama yg namanya sasak gantung takut tiba,netral,Kawah Putih
Tahun lalu kesini airnya lg kering;(,tahun lalu kesini airnya lg kering,netral,Glamping Lakeside
@arsych8 bagus ni,arsych bagus ni,positif,Gunung Puntang
@nama_whooo pengen kesinii,nama_whooo pengen kesinii,netral,Glamping Lakeside
pernah kesini tpi ke sunan ibu nya yg di Atas 😌 pdhl kekawah putih nya belum pernah 😌 sekali kesini dilewat malah ke atas nya,pernah kesini tpi ke sunan ibu nya yg di atas pdhl kekawah putih nya belum pernah sekali kesini dilewat malah ke atas nya,netral,Kawah Putih
indah syekali yah,indah syekali yah,positif,Kawah Putih
Terakhir kali kesini sama mantan 😳,terakhir kali kesini sama mantan,netral,Gunung Puntang
Bismillah bisa kesini 😌,bismillah bisa kesini,netral,Glamping Lakeside
"salah satu tempat paling sejarah di 2018 , pertama kli deket sm suami dibawa liburan kesini🥰 kangeeen ,",salah satu tempat paling sejarah di pertama kli deket sm suami dibawa liburan kesini kangeeen,netral,Situ Patenggang
kapan bisa kesini 🥺 wacana mulu daaa,kapan bisa kesini wacana mulu daaa,netral,Glamping Lakeside
jaman pacan kesini udah lama bgt.. skrng jadi bagussss bangettt .. dlu Thun 2011 tiketnya masih 1 mtor gocap😂 langsung naik ke atas ..,jaman pacan kesini udah lama bgt skrng jadi bagussss bangettt dlu thun tiketnya masih mtor gocap langsung naik ke atas,positif,Gunung Puntang
@fitriwidyawatii @imandantaqwa @poopayyyy_ @rispehhh_ @shinta_aw kesini yuu,fitriwidyawatii imandantaqwa poopayyyy_ rispehhh_ shinta_aw kesini yuu,netral,Ranca Upas
Masya Allah cantik bgt🥺,masya allah cantik bgt,netral,Gunung Puntang
bagus skg ada jalannya dlu ga ada,bagus skg ada jalannya dlu ga ada,positif,Gunung Puntang
baguss skrg😳,baguss skrg,positif,Gunung Puntang
kangen banget suasananya😭😭😭,kangen banget suasananya,netral,Gunung Puntang
"@dreamysgirlu IH ENAK BGT BISA LEWAT SITU,KITA PAS ITU GABISA",dreamysgirlu ih enak bgt bisa lewat situkita pas itu gabisa,positif,Ranca Upas
"Tahun kmrn kesini air kawahnya surut dan kering bgt, jembatan nya juga blm jadi 🥺",tahun kmrn kesini air kawahnya surut dan kering bgt jembatan nya juga blm jadi,netral,Glamping Lakeside
masyaallah cantik bgt,masyaallah cantik bgt,netral,Glamping Lakeside
Sekarang makin kerennn🥺,sekarang makin kerennn,positif,Gunung Puntang
br kmrn hr sabtu kesini. bagus bgt. apalagi suka klo byk kabutnya😬😬,br kmrn hr sabtu kesini bagus bgt apalagi suka klo byk kabutnya,positif,Glamping Lakeside
mau kesiniii @salabim,mau kesiniii salabim,netral,Situ Patenggang
pengen kesinintapi gaada temen🥺,pengen kesinintapi gaada temen,netral,Ranca Upas
mau kesini tp pacarku sm mantan nya pernah kesini jd gajadi ygy,mau kesini tp pacarku sm mantan nya pernah kesini jd gajadi ygy,netral,Glamping Lakeside
keren ih pngin ksini😍,keren ih pngin ksini,positif,Kawah Putih
"bagus banget, taun lalu pas kesini jembatannya belum jadi🥺",bagus banget taun lalu pas kesini jembatannya belum jadi,positif,Gunung Puntang
"pernah sekali kesini,, emang lagi rezeki bisa gratis juga masuknya 🤭",pernah sekali kesini emang lagi rezeki bisa gratis juga masuknya,netral,Kawah Putih
kok mau kesini @vangreentea @y0urfuturegurl,kok mau kesini vangreentea yurfuturegurl,netral,Situ Patenggang
jd sekeren itu ciwidey skr,jd sekeren itu ciwidey skr,positif,Situ Patenggang
@johan S ajak kesini mauu ayanggggg,johan s ajak kesini mauu ayanggggg,netral,Glamping Lakeside
@ojon3467 bagus ih,ojon bagus ih,positif,Ranca Upas
@ahmdzkf bagus🥺,ahmdzkf bagus,positif,Situ Patenggang
bagus yah skrg..dlu mh nggk ada jmbatannya..,bagus yah skrgdlu mh nggk ada jmbatannya,positif,Situ Patenggang
@rinduyaaa @gegeenadia @reirearlla jadi pen kesini,rinduyaaa gegeenadia reirearlla jadi pen kesini,netral,Gunung Puntang
"ahhh bagus banget ,dulu 2011 kesana belom ada jembatannya begiti😌🥺",ahhh bagus banget dulu kesana belom ada jembatannya begiti,positif,Ranca Upas
wah sekarang bagus banget ya bisa jalan dikawah nya 🤩🤩🤩,wah sekarang bagus banget ya bisa jalan dikawah nya,positif,Situ Patenggang
mauuuu kesini yank @Ridwan Ali Yusup,mauuuu kesini yank ridwan ali yusup,netral,Gunung Puntang
@achmadirfan005 bagus beb,achmadirfan bagus beb,positif,Kawah Putih
tambah bagus.. dulu kesini..masih baru dibangun,tambah bagus dulu kesinimasih baru dibangun,positif,Kawah Putih
wah udah bagus jembatannya,wah udah bagus jembatannya,positif,Glamping Lakeside
terakhir kesini 2015 😂.. belom sebagus iniii,terakhir kesini belom sebagus iniii,positif,Gunung Puntang
"baru kmrn kesini, emang sebagus itu sii hehe",baru kmrn kesini emang sebagus itu sii hehe,positif,Situ Patenggang
@yodhi31 kesini trauma gara2 pusing bngt bau belerang,yodhi kesini trauma gara pusing bngt bau belerang,negatif,Kawah Putih
@fajaralinugraha_ harus kesini,fajaralinugraha_ harus kesini,netral,Glamping Lakeside
@dezor2 ajak kesini 🌚,dezor ajak kesini,netral,Gunung Puntang
@rezagunawan122 coba kesini aja ga sih,rezagunawan coba kesini aja ga sih,netral,Situ Patenggang
kerennn😊,kerennn,positif,Ranca Upas
@masluthfi_ mau kesiniii,masluthfi_ mau kesiniii,netral,Kawah Putih
mau kesiniii🥹@muhmmdjankrik,mau kesiniiimuhmmdjankrik,netral,Glamping Lakeside
pengen kesini.. tp anak2 ku masih pada kecil 😞,pengen kesini tp anak ku masih pada kecil,netral,Ranca Upas
"@ssnf44 @ll.ia_ kawah putih cooo, kangen🥺",ssnf llia_ kawah putih cooo kangen,netral,Kawah Putih
"viewnya bagus yah,syg jauh bgt dr tempat tinggalku😁",viewnya bagus yahsyg jauh bgt dr tempat tinggalku,positif,Situ Patenggang
@serverbars kesini yuu,serverbars kesini yuu,netral,Kawah Putih
mau kesini☹️@AftarIwan,mau kesiniaftariwan,netral,Kawah Putih
aaa mau baguss bgtt😍😍,aaa mau baguss bgtt,positif,Kawah Putih
ada yang ngerasa takut ga kalo nyebur ditengah🥲,ada yang ngerasa takut ga kalo nyebur ditengah,netral,Kawah Putih
@yupiiys jadi tambah bagus,yupiiys jadi tambah bagus,positif,Glamping Lakeside
bagus banget skrg.,bagus banget skrg,positif,Situ Patenggang
@Tiatia🦂 Bagus bgt kannn 😭,tiatia bagus bgt kannn,positif,Gunung Puntang
"bagus bgt, aku pas kesana dulu pas kering jdi ga terlalu bagus",bagus bgt aku pas kesana dulu pas kering jdi ga terlalu bagus,positif,Glamping Lakeside
Udah bagus ya skrg,udah bagus ya skrg,positif,Gunung Puntang
MaasyaAllah Udh Bagus ya,maasyaallah udh bagus ya,positif,Glamping Lakeside
@khodizah__ bagus tp jauh,khodizah__ bagus tp jauh,positif,Glamping Lakeside
@masyohh pengen kesini,masyohh pengen kesini,netral,Kawah Putih
udah lama bgt ga kesini,udah lama bgt ga kesini,netral,Gunung Puntang
12 thn yg lalu kesini blm secantik ini ☺️,thn yg lalu kesini blm secantik ini,netral,Ranca Upas
@rioilhamhadi seruu haha,rioilhamhadi seruu haha,positif,Gunung Puntang
@datukmaringgi pengen kesini dah wkwk,datukmaringgi pengen kesini dah wkwk,netral,Situ Patenggang
Keren bangett🥰,keren bangett,positif,Glamping Lakeside
@fjarrrrrr kesinii yukk,fjarrrrrr kesinii yukk,netral,Situ Patenggang
Dulu ga ada jalanan nya deh😌tmbh bagus skrng,dulu ga ada jalanan nya dehtmbh bagus skrng,positif,Gunung Puntang
indah bgt,indah bgt,positif,Gunung Puntang
orang kabupaten bandung tapi belom pernah kesini wkwk,orang kabupaten bandung tapi belom pernah kesini wkwk,netral,Gunung Puntang
"kak mau tanya itu air warna ny indah, apakah boleh berenang🥺",kak mau tanya itu air warna ny indah apakah boleh berenang,positif,Situ Patenggang
mau kesini @Hippie,mau kesini hippie,netral,Kawah Putih
@andifirmansyah431 om Roy ksni ajh bagus,andifirmansyah om roy ksni ajh bagus,positif,Glamping Lakeside
@bgsanandaa kesini ya nanti,bgsanandaa kesini ya nanti,netral,Ranca Upas
Takut roboh terus nyemplung🥺,takut roboh terus nyemplung,netral,Situ Patenggang
@rifansyahril2 bagus oy,rifansyahril bagus oy,positif,Gunung Puntang
@nadia.nuraini6 bagus bgt ga si,nadianuraini bagus bgt ga si,positif,Glamping Lakeside
Gue blm pernah tau kesini @hi_zzaza @flowenola @penggabungkalimat,gue blm pernah tau kesini hi_zzaza flowenola penggabungkalimat,netral,Glamping Lakeside
waktu kesini gabisa masuk ke jembatan ini🥺...,waktu kesini gabisa masuk ke jembatan ini,netral,Gunung Puntang
kesini ya nnti @msr2996,kesini ya nnti msr,netral,Glamping Lakeside
takut abruk Dan jatuh ke air panas,takut abruk dan jatuh ke air panas,netral,Glamping Lakeside
@gapapaudahhh kesini yu,gapapaudahhh kesini yu,netral,Glamping Lakeside
bagus bgt sekarang🥺,bagus bgt sekarang,positif,Glamping Lakeside
2015 kesini tapi blom ada jembatannya😳,kesini tapi blom ada jembatannya,netral,Gunung Puntang
@Mell メリサ kesini lho yukk😁😁,mell メリサ kesini lho yukk,netral,Ranca Upas
Jd pen kesini,jd pen kesini,netral,Gunung Puntang
"gue kalo healing yang tempatnya bagus gini, lebih sering foto tempat nya di banding sama gue nya, lagi pula gue insecure juge",gue kalo healing yang tempatnya bagus gini lebih sering foto tempat nya di banding sama gue nya lagi pula gue insecure juge,positif,Ranca Upas
kox sekarang bagus bgt yaaa🥺🥺,kox sekarang bagus bgt yaaa,positif,Situ Patenggang
"pengen kesini lagi sm ayank,tp ayank nya skrg udah ilang",pengen kesini lagi sm ayanktp ayank nya skrg udah ilang,netral,Glamping Lakeside
"subhanallah
tapi aku takut air🥺",subhanallah tapi aku takut air,netral,Ranca Upas
waahhh.... dulu ga gini euyyy.... skrg dah bagus 🥰🥰,waahhh dulu ga gini euyyy skrg dah bagus,positif,Gunung Puntang
terakhir kesini 2013 udh Lama bgt 🥰,terakhir kesini udh lama bgt,netral,Ranca Upas
"ih pengen kesini lagi, udh bagus aja",ih pengen kesini lagi udh bagus aja,positif,Gunung Puntang
Uda bagus baca komenannya wee @tiram1ssyuuuuu @rizarahardian @dhimas.cgs,uda bagus baca komenannya wee tiramssyuuuuu rizarahardian dhimascgs,positif,Gunung Puntang
indahnya ciptaanmu y Allah 🥰,indahnya ciptaanmu y allah,positif,Gunung Puntang
makin bagus aja si ini kawah putih,makin bagus aja si ini kawah putih,positif,Kawah Putih
@paqihjm20 kesini hayu,paqihjm kesini hayu,netral,Glamping Lakeside
tambah bagusss,tambah bagusss,positif,Gunung Puntang
"Bagus skrg , dulu pergi ga ada jembatan gini",bagus skrg dulu pergi ga ada jembatan gini,positif,Glamping Lakeside
jauh bgt si dari pintu masuk tapi kebayar sm bagusny:3,jauh bgt si dari pintu masuk tapi kebayar sm bagusny,positif,Gunung Puntang
bahaya gak siii ada jembatan diatas kawah gt keknya serem😬,bahaya gak siii ada jembatan diatas kawah gt keknya serem,netral,Ranca Upas
@irvnnazss23 jadibagus skrg,irvnnazss jadibagus skrg,positif,Ranca Upas
Pgn kesini @andriansssss,pgn kesini andriansssss,netral,Glamping Lakeside
Kesini turun kabut 😏😏😏,kesini turun kabut,netral,Gunung Puntang
aku pengen kesini lagi sama orang yang sama tapi status yang sudah beda (suami)🥰🥰🥰🥰🥰,aku pengen kesini lagi sama orang yang sama tapi status yang sudah beda suami,netral,Gunung Puntang
kp skrg bagus bangert yah terakhir ksna 2012😳😌,kp skrg bagus bangert yah terakhir ksna,positif,Ranca Upas
"Bagus ya kalo cerah, kalo mendung trs ujan ngeri 😭",bagus ya kalo cerah kalo mendung trs ujan ngeri,positif,Situ Patenggang
harusnya kesini aja haduhh ;((( @laelatuljanah26,harusnya kesini aja haduhh laelatuljanah,netral,Ranca Upas
IH UDH BAGUSS BGTT SKRGGG ADUHH HARUS DIDATENGINNN INI MAH🥺🤩🤩🤩,ih udh baguss bgtt skrggg aduhh harus didatenginnn ini mah,positif,Situ Patenggang
masyaAllah dmn itu bagus ya jd pgn nyelam,masyaallah dmn itu bagus ya jd pgn nyelam,positif,Gunung Puntang
kesini yuk @acildollbret,kesini yuk acildollbret,netral,Situ Patenggang
5th lalu aku kesini buat honeymoon doang mana berdua lupa bawa uang cash lebih ending nya jalan kaki sampe villa sekarang dah sebagus ini,th lalu aku kesini buat honeymoon doang mana berdua lupa bawa uang cash lebih ending nya jalan kaki sampe villa sekarang dah sebagus ini,positif,Gunung Puntang
@daenissa wei kesini lah kuy,daenissa wei kesini lah kuy,netral,Kawah Putih
terakhir kesini Mei 2020😌,terakhir kesini mei,netral,Gunung Puntang
ko bagus bgt skrggggg😭,ko bagus bgt skrggggg,positif,Situ Patenggang
@paiphile bagus bgt,paiphile bagus bgt,positif,Ranca Upas
skrng mh bagus ya ta😀 @octakintania,skrng mh bagus ya ta octakintania,positif,Situ Patenggang
@caprcrn23 ga sanggup buat kesini sii kalo ada cowo itu haha,caprcrn ga sanggup buat kesini sii kalo ada cowo itu haha,netral,Ranca Upas
pernah kesitu tapi belum sebagus itu 🥺,pernah kesitu tapi belum sebagus itu,positif,Glamping Lakeside
@s_n_love2020 mas pernah kesini yah,s_n_love mas pernah kesini yah,netral,Kawah Putih
dlu kesini 2016 masih biasa aja tempatnyaa eh skrg jd bagus bgt😅,dlu kesini masih biasa aja tempatnyaa eh skrg jd bagus bgt,positif,Ranca Upas
@sad130y74nc0k bagus,sadynck bagus,positif,Kawah Putih
@4quariusluvr kesini kita nanti,quariusluvr kesini kita nanti,netral,Gunung Puntang
@AJ mau kesiniii,aj mau kesiniii,netral,Gunung Puntang
"pernah kesini pas SMP, ternyata sekarang ada jembatan di tengah2 kawah 🥺 nggk tau kapan bisa kesana lagi pengen banget 😭",pernah kesini pas smp ternyata sekarang ada jembatan di tengah kawah nggk tau kapan bisa kesana lagi pengen banget,netral,Situ Patenggang
pengen bgt kesini lagi tapi takut keinget sama masa lalu 😌,pengen bgt kesini lagi tapi takut keinget sama masa lalu,netral,Situ Patenggang
@hermawanalshabuur pgn kesini,hermawanalshabuur pgn kesini,netral,Ranca Upas
bagusss bangetttt😳,bagusss bangetttt,positif,Glamping Lakeside
jd kangen kawah putih 🥰,jd kangen kawah putih,netral,Kawah Putih
@bagusmuktiii ayaangg,bagusmuktiii ayaangg,positif,Ranca Upas
@emperorsenses bagus🥺,emperorsenses bagus,positif,Kawah Putih
cantik banget pemandangannya,cantik banget pemandangannya,netral,Glamping Lakeside
sekarang emang lebih bagus TAPI BAUNYA BIKIN PUSING WKWKWKWKWKWKWKWK,sekarang emang lebih bagus tapi baunya bikin pusing wkwkwkwkwkwkwkwk,negatif,Gunung Puntang
jdi kangen org di ciwidey,jdi kangen org di ciwidey,netral,Kawah Putih
terakhir kesana 2011.. subhanallah sudah bnyak berubah tambah bagus,terakhir kesana subhanallah sudah bnyak berubah tambah bagus,positif,Kawah Putih
makin baguss woy,makin baguss woy,positif,Glamping Lakeside
indah ny,indah ny,positif,Ranca Upas
"terakhir kesini waktu SD, skrg udah punya buntut 😅",terakhir kesini waktu sd skrg udah punya buntut,netral,Ranca Upas
IH udah bagus bangeettt,ih udah bagus bangeettt,positif,Gunung Puntang
bismillah main kesini bareng bestie🤗😖 @hopipah73,bismillah main kesini bareng bestie hopipah,positif,Kawah Putih
Mahal bgt kesini sumpah,mahal bgt kesini sumpah,negatif,Ranca Upas
@ervinulf @rin.du_,ervinulf rindu_,netral,Situ Patenggang
bagus bangeet 🥺,bagus bangeet,positif,Gunung Puntang
kangen kesitu sm kluarga deh,kangen kesitu sm kluarga deh,netral,Gunung Puntang
